recipe_id,search_term
166852,low-calorie
166852,low-sodium
166852,vegetarian
166852,side
166852,vegan
175614,appetizer
175614,side
185126,side
185126,dinner
185126,beef
189877,sandwich
189877,healthy
189877,vegetarian
189877,lunch
189976,vegetarian
189976,dessert
189976,gluten-free
189976,dinner
189976,pudding
224046,dessert
229794,lunch
264085,dinner
264085,chicken
267358,appetizer
267358,dinner
296647,lunch
296647,snack
303876,healthy
303876,dessert
303876,low-fat
303876,low-sodium
358321,dessert
358321,bread
358321,vegetarian
363765,cookie
363765,dessert
367080,healthy
367080,low-fat
367080,low-sodium
367080,low-carb
383271,southern
383271,bread
384342,dinner
384342,noodles
418935,vegetarian
450224,dinner
450224,italian
450224,pasta
461573,dinner
461573,vegetarian
483275,low-calorie
483275,low-sodium
483275,healthy
483275,side
483275,low-fat
484398,vegetarian
484398,dessert
484398,vegan
484398,indian
484398,dinner
484398,snack
507198,low-calorie
507198,healthy
507198,low-carb
507198,gluten-free
507198,low-fat
507198,lactose-free
64124,roast
64124,low-sodium
64124,healthy
64124,pork
64124,low-carb
64124,dinner
232036,low-calorie
232036,dinner
232036,low-sodium
232039,healthy
232039,low-fat
6933,low-calorie
6933,low-sodium
6933,low-carb
232041,low-sodium
232041,low-calorie
232041,vegetarian
232041,low-carb
232041,breakfast
232042,chicken
232042,low-fat
232042,dinner
232044,low-calorie
232044,low-sodium
232044,healthy
232044,dessert
232044,low-fat
232045,thai
232045,gluten-free
232045,lactose-free
232046,healthy
232046,low-fat
232046,low-calorie
232046,salad
382149,stew
382149,dinner
382149,beef
382149,english
169,gluten-free
232048,thai
232048,gluten-free
232048,lactose-free
232049,southern
232049,side
232051,dinner
232051,low-carb
232051,chicken
232052,cookie
232052,dessert
232053,southern
232053,dinner
232053,cajun
232053,chicken
232054,mexican
232054,dinner
45732,appetizer
45732,dinner
45732,lunch
50181,vegetarian
50181,vegan
54550,soup
54955,dessert
54955,dinner
95396,gluten-free
95396,lactose-free
95396,vegetarian
98783,dessert
98783,low-sodium
113577,lunch
113577,snack
138734,appetizer
138734,bread
138734,lunch
184092,side
184092,salad
189230,dinner
189230,italian
191159,vegetarian
191159,lunch
191159,sandwich
191159,healthy
191159,low-fat
191159,southern
197701,breakfast
222146,low-calorie
222146,italian
222146,healthy
222146,low-carb
222146,low-fat
222146,dinner
222146,chicken
307743,low-calorie
307743,dinner
307743,low-sodium
307743,low-carb
