recipe_id,ingredient_id
261670,3
291217,3
334185,3
355118,3
426344,3
444275,3
476769,3
263947,3
48813,3
75593,3
86068,3
98586,3
111818,3
160671,3
213767,3
217428,3
250455,3
345578,3
406701,3
456623,3
116063,3
152325,3
242916,3
263977,3
313813,3
353805,3
394178,3
441808,3
482309,3
530686,3
1717,3
176190,3
190830,3
191011,3
254208,3
371553,3
440585,3
467939,3
9004,3
84459,3
393225,3
109923,3
113673,3
161339,3
176312,3
356897,3
461036,3
470130,3
21662,3
197143,3
213834,3
249085,3
254578,3
293800,3
296306,3
362715,3
429712,3
492236,3
511395,3
20895,3
40590,3
110998,3
117071,3
119154,3
126177,3
201245,3
279654,3
280416,3
354959,3
412025,3
436291,3
447545,3
464831,3
34720,3
73120,3
87846,3
111108,3
115083,3
125309,3
243704,3
387537,3
455398,3
462669,3
525019,3
491570,3
95760,3
153459,3
197506,3
245572,3
293972,3
300983,3
403705,3
418291,3
483471,3
530642,3
23673,3
37581,3
128678,3
167018,3
199829,3
223353,3
223913,3
251515,3
280018,3
301713,3
343688,3
496890,3
65880,3
85978,3
94835,3
112396,3
148895,3
209168,3
297826,3
483041,3
492117,3
87393,3
106290,3
127490,3
187588,3
227020,3
291270,3
368624,3
388770,3
401179,3
448230,3
511878,3
484027,3
834,3
2874,3
657,3
4749,3
6819,3
16917,3
37773,3
48689,3
73653,3
92649,3
214497,3
323411,3
309926,3
323729,3
60186,3
382399,3
457197,3
94785,3
235461,3
256659,3
293729,3
315121,3
340619,3
421816,3
500934,3
511422,3
526128,3
326279,3
89498,3
141724,3
213521,3
427126,3
459568,3
60846,3
413774,3
167181,3
341040,3
376112,3
413399,3
484037,3
27476,3
71982,3
96624,3
241831,3
266513,3
280333,3
320258,3
355991,3
416558,3
432647,3
292475,3
304732,3
343775,3
26169,3
76290,3
61796,3
89490,3
111700,3
125354,3
199988,3
226965,3
365708,3
494480,3
12061,3
18272,3
129674,3
172134,3
332224,3
479299,3
505629,3
6922,3
97459,3
142101,3
143907,3
173611,3
236287,3
276794,3
465673,3
478207,3
92718,3
148364,3
174708,3
287616,3
336914,3
436608,3
457657,3
32629,3
47978,3
133998,3
220018,3
225675,3
228975,3
258295,3
285794,3
301547,3
427463,3
429662,3
520745,3
527449,3
533284,3
37278,3
93289,3
180884,3
268137,3
274902,3
445089,3
466673,3
496543,3
16651,3
17223,3
56443,3
79813,3
100243,3
149879,3
154323,3
416235,3
211395,3
298291,3
372200,3
505391,3
524074,3
534334,3
25377,3
27827,3
46625,3
158940,3
179910,3
202049,3
224897,3
236836,3
329728,3
379802,3
390542,3
414372,3
34824,3
121861,3
163926,3
168875,3
296860,3
368083,3
466059,3
492321,3
12256,3
15826,3
18146,3
50203,3
63436,3
133548,3
142845,3
323675,3
328702,3
390351,3
441664,3
453824,3
465478,3
37967,3
105125,3
123835,3
283755,3
341969,3
351967,3
365581,3
411236,3
430580,3
452895,3
482030,3
528835,3
6719,3
37488,3
198803,3
253522,3
304977,3
381663,3
386881,3
411361,3
435419,3
74721,3
217167,3
255223,3
336824,3
426125,3
474487,3
495255,3
520550,3
35941,3
56611,3
93415,3
140821,3
183886,3
197912,3
268719,3
280508,3
284808,3
448307,3
520044,3
7585,3
157019,3
408628,3
456800,3
488613,3
115576,3
71848,3
